"function";"bitsAmount";"oldMethod";"ourMethod"
"or";125;0,00031498074531555176;0,0010000109672546388
"and";125;0,000299990177154541;0,0009450137615203858
"getBestSegments";125;0,005164974927902221;0,0018350064754486084
"or";126;0,00034000873565673826;0,001009988784790039
"and";126;0,0003100097179412842;0,000954979658126831
"getBestSegments";126;0,005104959011077881;0,001870018243789673
"or";127;0,0003099918365478516;0,000959998369216919
"and";127;0,00029998421669006345;0,0009600043296813965
"getBestSegments";127;0,005010008811950684;0,0018600046634674073
"or";128;0,0003350198268890381;0,0009949803352355957
"and";128;0,00030000805854797364;0,0009450018405914307
"getBestSegments";128;0,005085021257400513;0,0018199920654296876
"or";129;0,00033499598503112794;0,0010349929332733154
"and";129;0,00031000375747680664;0,0009449958801269531
"getBestSegments";129;0,005179989337921143;0,0018800020217895508
"or";130;0,00033499598503112794;0,001035010814666748
"and";130;0,0003050029277801514;0,0009800255298614501
"getBestSegments";130;0,010929995775222778;0,0017849862575531005
"or";131;0,0003200054168701172;0,0010249853134155274
"and";131;0,00030000805854797364;0,0009999990463256836
"getBestSegments";131;0,005214953422546386;0,00191003680229187
"or";132;0,00033000707626342776;0,0010350048542022705
"and";132;0,0003149926662445068;0,0009800136089324952
"getBestSegments";132;0,004999935626983643;0,001795053482055664
"or";133;0,000315016508102417;0,0010200023651123046
"and";133;0,00030001401901245115;0,0009849965572357178
"getBestSegments";133;0,005489999055862426;0,0020099520683288575
"or";134;0,00034500956535339357;0,0010299861431121826
"and";134;0,0003100097179412842;0,000979989767074585
"getBestSegments";134;0,005260038375854492;0,0018799841403961183
"or";135;0,00033001303672790526;0,0010500013828277587
"and";135;0,00031501054763793945;0,0009750068187713623
"getBestSegments";135;0,005580008029937744;0,0019950270652770996
"or";136;0,00033997893333435056;0,0010800182819366456
"and";136;0,0003050029277801514;0,0010000109672546388
"getBestSegments";136;0,0054200470447540285;0,0019499659538269043
"or";137;0,0003250181674957275;0,0010799944400787353
"and";137;0,0003149986267089844;0,0010150015354156495
"getBestSegments";137;0,007289993762969971;0,005764997005462647
"or";138;0,00040997862815856935;0,0010749936103820802
"and";138;0,0003200113773345947;0,0009849846363067627
"getBestSegments";138;0,007930010557174683;0,002085024118423462
"or";139;0,000335007905960083;0,001084977388381958
"and";139;0,0003100395202636719;0,001009976863861084
"getBestSegments";139;0,005730003118515015;0,0020350217819213867
"or";140;0,00034000873565673826;0,001699984073638916
"and";140;0,0003100097179412842;0,0010149776935577393
"getBestSegments";140;0,006015008687973023;0,0020449817180633544
"or";141;0,00035498142242431643;0,0011150121688842773
"and";141;0,00032500624656677245;0,0016849935054779053
"getBestSegments";141;0,006765061616897583;0,0019949734210968017
"or";142;0,0003300011157989502;0,001129990816116333
"and";142;0,0003550112247467041;0,0010499775409698487
"getBestSegments";142;0,005694985389709473;0,002035009860992432
"or";143;0,00037000775337219237;0,001090008020401001
"and";143;0,0003099799156188965;0,0010250210762023926
"getBestSegments";143;0,0057849884033203125;0,001994979381561279
"or";144;0,0004149973392486572;0,0011100113391876222
"and";144;0,00033499598503112794;0,0010399997234344482
"getBestSegments";144;0,0056949973106384276;0,002045011520385742
"or";145;0,0003549933433532715;0,0010650098323822022
"and";145;0,00039500594139099123;0,0010700106620788574
"getBestSegments";145;0,005880004167556763;0,002085006237030029
"or";146;0,0003500103950500488;0,0010849952697753907
"and";146;0,00032500028610229494;0,0010350167751312256
"getBestSegments";146;0,006269997358322144;0,0022849798202514648
"or";147;0,0003849983215332031;0,0011150062084197998
"and";147;0,0003550112247467041;0,0010999739170074463
"getBestSegments";147;0,007124972343444824;0,0020950376987457276
"or";148;0,00035501718521118163;0,0011349976062774657
"and";148;0,00031996965408325194;0,0010800182819366456
"getBestSegments";148;0,006284981966018677;0,002174985408782959
"or";149;0,00036998391151428224;0,0011499881744384765
"and";149;0,0003550231456756592;0,0010549962520599366
"getBestSegments";149;0,005855000019073487;0,002125018835067749
"or";150;0,00035498738288879393;0,0011900067329406738
"and";150;0,00032998919486999513;0,0010750114917755127
"getBestSegments";150;0,007214981317520142;0,008295035362243653
"or";151;0,00042000412940979004;0,001145005226135254
"and";151;0,000319981575012207;0,0010800063610076904
"getBestSegments";151;0,005859941244125366;0,002120041847229004
"or";152;0,000354999303817749;0,0011449933052062988
"and";152;0,0003400206565856934;0,0010949909687042237
"getBestSegments";152;0,0060700058937072756;0,0021599650382995604
"or";153;0,0004249989986419678;0,0012100100517272948
"and";153;0,0003449976444244385;0,0010799944400787353
"getBestSegments";153;0,006590008735656738;0,002334994077682495
"or";154;0,0003449738025665283;0,0012100100517272948
"and";154;0,0003349900245666504;0,0011150002479553222
"getBestSegments";154;0,006369990110397339;0,0020500004291534426
"or";155;0,00037000179290771487;0,0011899888515472413
"and";155;0,0003399968147277832;0,0010850012302398681
"getBestSegments";155;0,006510061025619507;0,002305006980895996
"or";156;0,0003849983215332031;0,0011799991130828857
"and";156;0,00033499598503112794;0,0011200129985809327
"getBestSegments";156;0,006259989738464355;0,002160012722015381
"or";157;0,0003400206565856934;0,0012049734592437743
"and";157;0,0003650188446044922;0,001120007038116455
"getBestSegments";157;0,006414973735809326;0,002224975824356079
"or";158;0,0003750085830688477;0,0011849939823150636
"and";158;0,0003550112247467041;0,0011449992656707765
"getBestSegments";158;0,0063600242137908936;0,0022400081157684325
"or";159;0,00039502978324890137;0,0012299835681915284
"and";159;0,00036496520042419436;0,0011400163173675537
"getBestSegments";159;0,0069499373435974125;0,002235037088394165
"or";160;0,0003799915313720703;0,0012150228023529053
"and";160;0,0003249883651733398;0,0011500000953674316
"getBestSegments";160;0,006559950113296509;0,0023200452327728272
"or";161;0,00038000345230102537;0,0012200057506561279
"and";161;0,00035999417304992675;0,0017700135707855225
"getBestSegments";161;0,00847998857498169;0,0023400068283081056
"or";162;0,00039998888969421386;0,0018750309944152832
"and";162;0,00036998391151428224;0,001184999942779541
"getBestSegments";162;0,006575006246566773;0,0023150026798248293
"or";163;0,00037000179290771487;0,001230001449584961
"and";163;0,00036499500274658205;0,0011699914932250977
"getBestSegments";163;0,00611000657081604;0,0022249579429626464
"or";164;0,00037499666213989256;0,0012649953365325927
"and";164;0,00035999417304992675;0,0011500179767608642
